No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
73,6/02～6/20_総合保健福祉センター,TRUE,2021-06-05,13:20,16:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-05,2021-06-05T13:20:00.000+9,2021-06-05T16:40:00.000+9,2021-06-05T00:00:00.000+9,2021-06-05T00:00:00.000+9
74,6/02～6/20_総合保健福祉センター,TRUE,2021-06-12,13:20,16:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-12,2021-06-12T13:20:00.000+9,2021-06-12T16:40:00.000+9,2021-06-12T00:00:00.000+9,2021-06-12T00:00:00.000+9
75,6/02～6/20_総合保健福祉センター,TRUE,2021-06-19,13:20,16:40,,,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-19,2021-06-19T13:20:00.000+9,2021-06-19T16:40:00.000+9,2021-06-19T00:00:00.000+9,2021-06-19T00:00:00.000+9
76,6/02～6/20_総合保健福祉センター,TRUE,2021-06-26,13:20,16:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-06-26,2021-06-26T13:20:00.000+9,2021-06-26T16:40:00.000+9,2021-06-26T00:00:00.000+9,2021-06-26T00:00:00.000+9
77,6/02～6/20_総合保健福祉センター,TRUE,2021-07-03,13:20,16:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-03,2021-07-03T13:20:00.000+9,2021-07-03T16:40:00.000+9,2021-07-03T00:00:00.000+9,2021-07-03T00:00:00.000+9
78,6/02～6/20_総合保健福祉センター,TRUE,2021-07-10,13:20,16:40,,,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-10,2021-07-10T13:20:00.000+9,2021-07-10T16:40:00.000+9,2021-07-10T00:00:00.000+9,2021-07-10T00:00:00.000+9
79,6/02～6/20_総合保健福祉センター,TRUE,2021-06-06,9:50,14:50,10:50,13:50,10,5,2,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-06,2021-06-06T09:50:00.000+9,2021-06-06T14:50:00.000+9,2021-06-06T10:50:00.000+9,2021-06-06T13:50:00.000+9
80,6/02～6/20_総合保健福祉センター,TRUE,2021-06-13,9:50,14:50,10:50,13:50,10,5,2,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-13,2021-06-13T09:50:00.000+9,2021-06-13T14:50:00.000+9,2021-06-13T10:50:00.000+9,2021-06-13T13:50:00.000+9
81,6/02～6/20_総合保健福祉センター,TRUE,2021-06-20,9:50,14:50,10:50,13:50,10,5,2,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-20,2021-06-20T09:50:00.000+9,2021-06-20T14:50:00.000+9,2021-06-20T10:50:00.000+9,2021-06-20T13:50:00.000+9
82,6/02～6/20_総合保健福祉センター,TRUE,2021-06-27,9:50,14:50,10:50,13:50,10,5,2,0,0,0,6/02～6/20_総合保健福祉センター/2021-06-27,2021-06-27T09:50:00.000+9,2021-06-27T14:50:00.000+9,2021-06-27T10:50:00.000+9,2021-06-27T13:50:00.000+9
83,6/02～6/20_総合保健福祉センター,TRUE,2021-07-04,9:50,14:50,10:50,13:50,10,5,2,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-04,2021-07-04T09:50:00.000+9,2021-07-04T14:50:00.000+9,2021-07-04T10:50:00.000+9,2021-07-04T13:50:00.000+9
