No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
61,7/14～8/01_総合保健福祉センター,TRUE,2021-08-15,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-15,2021-08-15T09:50:00.000+9,2021-08-15T14:20:00.000+9,2021-08-15T10:20:00.000+9,2021-08-15T13:50:00.000+9
62,7/14～8/01_総合保健福祉センター,TRUE,2021-08-22,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-22,2021-08-22T09:50:00.000+9,2021-08-22T14:20:00.000+9,2021-08-22T10:20:00.000+9,2021-08-22T13:50:00.000+9
63,7/14～8/01_東生涯学習センター,TRUE,2021-07-14,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-14,2021-07-14T13:20:00.000+9,2021-07-14T14:40:00.000+9,2021-07-14T14:00:00.000+9,2021-07-14T14:20:00.000+9
64,7/14～8/01_東生涯学習センター,TRUE,2021-07-15,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-15,2021-07-15T13:20:00.000+9,2021-07-15T14:40:00.000+9,2021-07-15T14:00:00.000+9,2021-07-15T14:20:00.000+9
65,7/14～8/01_東生涯学習センター,TRUE,2021-07-21,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-21,2021-07-21T13:20:00.000+9,2021-07-21T14:40:00.000+9,2021-07-21T14:00:00.000+9,2021-07-21T14:20:00.000+9
66,7/14～8/01_東生涯学習センター,TRUE,2021-07-28,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-28,2021-07-28T13:20:00.000+9,2021-07-28T14:40:00.000+9,2021-07-28T14:00:00.000+9,2021-07-28T14:20:00.000+9
67,7/14～8/01_東生涯学習センター,TRUE,2021-07-29,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_東生涯学習センター/2021-07-29,2021-07-29T13:20:00.000+9,2021-07-29T14:40:00.000+9,2021-07-29T14:00:00.000+9,2021-07-29T14:20:00.000+9
68,7/14～8/01_東生涯学習センター,TRUE,2021-08-04,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_東生涯学習センター/2021-08-04,2021-08-04T13:20:00.000+9,2021-08-04T14:40:00.000+9,2021-08-04T14:00:00.000+9,2021-08-04T14:20:00.000+9
69,7/14～8/01_東生涯学習センター,TRUE,2021-08-05,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_東生涯学習センター/2021-08-05,2021-08-05T13:20:00.000+9,2021-08-05T14:40:00.000+9,2021-08-05T14:00:00.000+9,2021-08-05T14:20:00.000+9
70,7/14～8/01_東生涯学習センター,TRUE,2021-08-11,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_東生涯学習センター/2021-08-11,2021-08-11T13:20:00.000+9,2021-08-11T14:40:00.000+9,2021-08-11T14:00:00.000+9,2021-08-11T14:20:00.000+9
71,7/14～8/01_東生涯学習センター,TRUE,2021-08-18,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_東生涯学習センター/2021-08-18,2021-08-18T13:20:00.000+9,2021-08-18T14:40:00.000+9,2021-08-18T14:00:00.000+9,2021-08-18T14:20:00.000+9
72,7/14～8/01_東生涯学習センター,TRUE,2021-08-19,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_東生涯学習センター/2021-08-19,2021-08-19T13:20:00.000+9,2021-08-19T14:40:00.000+9,2021-08-19T14:00:00.000+9,2021-08-19T14:20:00.000+9
73,7/14～8/01_東生涯学習センター,TRUE,2021-07-17,13:20,15:00,,,10,3,1,120,2,2,7/14～8/01_東生涯学習センター/2021-07-17,2021-07-17T13:20:00.000+9,2021-07-17T15:00:00.000+9,2021-07-17T00:00:00.000+9,2021-07-17T00:00:00.000+9
74,7/14～8/01_東生涯学習センター,TRUE,2021-07-31,13:20,15:00,,,10,3,1,120,2,2,7/14～8/01_東生涯学習センター/2021-07-31,2021-07-31T13:20:00.000+9,2021-07-31T15:00:00.000+9,2021-07-31T00:00:00.000+9,2021-07-31T00:00:00.000+9
75,7/14～8/01_東生涯学習センター,TRUE,2021-08-07,13:20,15:00,,,10,3,1,0,0,0,7/14～8/01_東生涯学習センター/2021-08-07,2021-08-07T13:20:00.000+9,2021-08-07T15:00:00.000+9,2021-08-07T00:00:00.000+9,2021-08-07T00:00:00.000+9
76,7/14～8/01_東生涯学習センター,TRUE,2021-08-21,13:20,15:00,,,10,3,1,0,0,0,7/14～8/01_東生涯学習センター/2021-08-21,2021-08-21T13:20:00.000+9,2021-08-21T15:00:00.000+9,2021-08-21T00:00:00.000+9,2021-08-21T00:00:00.000+9
77,7/14～8/01_東生涯学習センター,TRUE,2021-07-18,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_東生涯学習センター/2021-07-18,2021-07-18T09:50:00.000+9,2021-07-18T14:20:00.000+9,2021-07-18T10:20:00.000+9,2021-07-18T13:50:00.000+9
78,7/14～8/01_東生涯学習センター,TRUE,2021-07-25,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_東生涯学習センター/2021-07-25,2021-07-25T09:50:00.000+9,2021-07-25T14:20:00.000+9,2021-07-25T10:20:00.000+9,2021-07-25T13:50:00.000+9
79,7/14～8/01_東生涯学習センター,TRUE,2021-08-01,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_東生涯学習センター/2021-08-01,2021-08-01T09:50:00.000+9,2021-08-01T14:20:00.000+9,2021-08-01T10:20:00.000+9,2021-08-01T13:50:00.000+9
80,7/14～8/01_東生涯学習センター,TRUE,2021-08-08,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_東生涯学習センター/2021-08-08,2021-08-08T09:50:00.000+9,2021-08-08T14:20:00.000+9,2021-08-08T10:20:00.000+9,2021-08-08T13:50:00.000+9
81,7/14～8/01_東生涯学習センター,TRUE,2021-08-15,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_東生涯学習センター/2021-08-15,2021-08-15T09:50:00.000+9,2021-08-15T14:20:00.000+9,2021-08-15T10:20:00.000+9,2021-08-15T13:50:00.000+9
82,7/14～8/01_東生涯学習センター,TRUE,2021-08-22,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_東生涯学習センター/2021-08-22,2021-08-22T09:50:00.000+9,2021-08-22T14:20:00.000+9,2021-08-22T10:20:00.000+9,2021-08-22T13:50:00.000+9
83,7/14～8/01_西南生涯学習センター,TRUE,2021-07-14,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-07-14,2021-07-14T13:20:00.000+9,2021-07-14T14:40:00.000+9,2021-07-14T14:00:00.000+9,2021-07-14T14:20:00.000+9
84,7/14～8/01_西南生涯学習センター,TRUE,2021-07-15,13:20,14:40,14:00,14:20,10,1,0,120,2,2,7/14～8/01_西南生涯学習センター/2021-07-15,2021-07-15T13:20:00.000+9,2021-07-15T14:40:00.000+9,2021-07-15T14:00:00.000+9,2021-07-15T14:20:00.000+9
